a	какой-то
blether	трёп|трескотня
blight	разрушать
blind	слепой|штора|ослепить
blind alley	тупик
blind boy	слепец
blind man	слепец
blind-worm	медяница
blindfold	слепо
blinding	ослепительный|ослепление
blindly	слепо|вслепую|втёмную
blindness	слепота|ослепление
blink	мигать|моргнуть|моргать
blinker	наглазник
blinking	мигание
blip	зубец
bliss	блаженство|нега
blissful	блаженный
blister	пузырь|раковина|волдырь
blister-fly	мушка
blitz	бомбить
blizzard	пурга|вьюга
bloated	вздутый
bloc	блок
block	глыба|квартал|кубик
block and tackle	тали
block headed	тупорылый
block of ice	льдина
block section	блок-участок
block station	блокпост
block up	завалить|заставить|преградить
blockade	блокада|блокировать
blockage	завал
blockhead	болван|дуб|пень
blockheads	дубьё
blockhouse	блокпост
blocking up	загромождение
blog	блог
bloke	паренёк|парень
blond	белокурый
blonde	блондинка|блондин
blood	кровь|кровный|кровушка
blood orange	королёк
blood-donor	донор
blood-letting	кровопускание
blood-red	кровавый
blood-spitting	кровохарканье
blood-stained	окровавленный|кровавый
blood-sucker	кровопийца|мироед
blood-thirstiness	кровожадность
blood-thirsty	кровожадный
bloodhound	ищейка
bloodless	бескровный
bloodshed	кровопролитие
bloody	кровавый|окровавленный|кровопролитный
bloody battle	побоище
bloom	пушок|расцвет|расцвести
blooming	цветущий|блюминг|распускание
blossom	цветок|расцвести|расцветать
blossom out	распускаться
blossoming	расцвет|цветущий|цветение
blot	пятно|клякса|заляпать
blotched	пятнистый
blotter	промокашка|пресс-папье
blotting-pad	бювар
blouse	кофточка|кофта|блузка
blow	удар|дуть|веять
blow about	потрепать|трепать|раздувать
blow one's nose	сморкаться
blow over	пронестись|проноситься|рассеиваться
blow softly	повеять
blow through	продувать
blow up	взорваться|взорвать|взрывать
blower	воздуходувка
blowing	веяние|выдувка|дутьё
blowing up	подрывание
blowing-up	разнос
blows	побои
blubber-oil	ворвань
bludgeon	дубинка|дубина|кистень
blue	голубой|синева|голубизна
blue colour	синева
blue fox	песец
blue tit	синица
blue titmouse	синица
blue-eyed	голубоглазый|синеглазый
bluebell	колокольчик
blueberries	черника
blued	воронёный
blueing	синька
blueness	голубизна
blueprint	синька|светокопия
blues	блюз|хандра|подавленность
bluff	блеф|пуф
bluish	голубоватый|синеватый|сизый
blunder	ошибка|неловкость|промах
blunderer	растяпа|недотёпа
blunt	тупой|откровенный
blunting	притупление
bluntly	прямо
bluntness	тупость
blurry	размытый
blurt out	ляпнуть|выпалить|бухать
blush	краска|румянец|покраснеть
boa	удав|боа|горжетка
boa constrictor	удав
boar	кабан|свинья|секач
board	доска|министерство|стол
board and lodging	пансион
board of administration	правление
board of directors	директорат
board of guardians	опека|попечительство
boarder	нахлебница|пансионер|пансионерка
boarding	посадка|обшивка|абордаж
boarding house	пансионат
boarding school	интернат
boarding-house	пансион
boarding-school	пансион
boarding-school girl	институтка
boards	сцена|тёс|подмостки
boast	хвастаться|хвалиться|хвастать
boaster	хвастун|бахвал
boastful	хвастливый
boasting	хвастовство|бахвальство|похвальба
boat	лодка|судно|катер
boat-hook	багор
boat-yard	затон
boatman	лодочник|перевозчик
boatswain	боцман
bob	подпрыгивать|подпрыгнуть|остричь
bob-sled	бобслей
bob-sleigh	бобслей
bobbin	катушка|бобина|коклюшка
bodice	лиф|корсаж
bodies	аппарат
bodily movement	телодвижение
boding ill	зловещий
body	тело|корпус|орган
body-builder	культуризм
body-guard	телохранитель
body-quard	дружинник
boer	бур
bog	болото|зыбун
bog whortleberries	голубика
bog whortleberry	голубика
bog-moss	сфагнум
bog-rush	очерет
bogatyr	богатырь
bogginess	вязкость
boggy	топкий|болотистый|вязкий
bogie	тележка
bogyman	бука
bohemia	богема
bohemianism	богема
boil	кипеть|кипятить|клокотать
boil over	убежать|убегать
boil up	бурлить
boiled	варёный|кипячёный|отварной
boiler	котёл|куб|котельный
boiler-house	котельная|бойлерная
boiler-maker	котельщик
boiler-man	истопник
boiler-room	котельная|бойлерная
boiling	кипение|кипучий|кипячение
boiling hot	крутой
boiling up	вскипание
boiling water	кипяток
boisterous	оживлённый|шумливый
bokharan	бухарка|бухарец
bold	смелый|дерзкий
bold spirit	смельчак
boldly	смело|размашисто|рельефно
boldness	смелость|кураж|удаль
bole	ствол
bolero	фигаро|болеро
boletus	боровик
boletus luteus	маслёнок
bolide	болид
bolivian	боливиец|боливийка
boll	коробочка
bollard	кнехт
bolshevik	большевик|большевистский
bolshevist	большевистский
bolster	подушка|валик
bolt	запор|засов|затвор
bolt head	личинка
bolter	сито
bolus	пилюля
bomb	бомба|бомбить
bomb shelter	бомбоубежище
bomb-aimer	бомбардир
bomb-dropping	бомбометание
bomb-proof shelter	бомбоубежище
bomb-rack	бомбодержатель
bomb-release	бомбометание
bomb-thrower	бомбомёт
bombardier	бомбардир
bombardment	бомбардировка|бомбардирование
bombast	пафос|напыщенность
bombastic	громкий|высокопарный|напыщенный
bombastically	высокопарно
bomber	бомбардировщик|бомбовоз
bomber pilot	бомбардировщик
bombing	бомбёжка|бомбардировка|бомбометание
bombyx	шелкопряд
bon-bon	конфета|подушечка|конфетка
bonbonniere	бонбоньерка
bond	связь|облигация|купюра
bond slave	холоп
bondage	неволя|рабство|кабала
bonded warehouse	пакгауз
bondholder	бумагодержатель
bondmaid	раба|рабыня
bondman	раб
bonds	цепь|узы
bondslave	раб
bondwoman	раба|рабыня
bone	кость|косточка|костный
bone carver	косторез
bone-setter	костоправ
boned gammon	рулет
boneless	бескостный
bones	костяк
bonfire	костёр
bong	дон
bonnet	шляпа|капот|чепчик
bonus	премия|премиальный|наградной
bony	костлявый|костистый
bonze	бонза
booby	балбес|оболтус|дуралей
book	книга|книжка|заказать
book depository	книгохранилище
book lover	книголюб
book of problems	задачник
book-cover	переплёт
book-exchange	книгообмен
book-keeper	бухгалтер
book-keeping	бухгалтерия|отчётность|бухгалтерский
book-pedlar	книгоноша
book-post	бандероль
book-stand	этажерка
book-trade	книготорговля
bookbinder	переплётчик
booking	запись
booking-office	касса
bookish	книжный
booklet	брошюра|проспект|буклет
bookmark	закладка
bookseller	книготорговец
bookworm	книгочей|книгоед
boom	гул|стрела|бум
boomerang	бумеранг
booms	ростр
boon	костра|благо|находка
boon companion	собутыльник
boondocks	глубинка
boor	хам|невежа|грубиян
boorish	хамский
boorishness	хамство
boost	подсадить|рекламировать|раздувать
boost-glide aircraft	ракетоплан
booster	усилитель
booster charge	подзарядка
boot	сапог|ботинок|башмак
boot-legger	самогонщик|самогонщица
boot-maker	сапожник
boot-tree	колодка
bootes	волопас
booth	кабина|киоск|кабинка
bootlicker	подхалим
bootlicking	подхалимство
boots	обувь|сапог
booty	добыча
booze	бухать|бухло
booze-up	запой|пьянка
boozer	выпивоха
boracic	борный
borax	бура
bordeaux	бордо
border	край|грань|рубеж
border upon	впадать|впасть
bordering	обшивка
bore	зуда|бур|канал
bore pit	шурф
bored	скучающий
boredom	скука|тоска|нудь
borer	бурильщик|древоточец
boric	борный
boring	скучный|буровой|бурение
boringly	скучно
born	присяжный|природный|прирождённый
boron	бор
borough	местечко|градоначальство
borrow	занять|перехватывать|заимствовать
borrower	заёмщик|заёмщица
borrowing	заимствование
borscht	борщ
borzhomi	боржоми
borzoi	борзая
bosnian	босниец|боснийка
bosom	пазуха|грудь|лоно
boson	бозон
boss	начальник|хозяин|шеф
boss it	хозяйничать
bossily	властно
boston	Бостон
botanical	ботанический
botanist	ботаник
botany	ботаника
both	оба
bother	волноваться|беспокоиться|возня
bother oneself	тревожиться
bothering	приставание
bothersome	хлопотливый
bottle	бутылка|флакон|склянка
bottlenose dolphin	афалина
bottling	разлив
bottom	дно|низ|днище
bottomless	бездонный
botvinia	ботвинья
boudoir	будуар
bough	сук|ветвь|лапа
boulder	валун
boulevard	бульвар
bounce	прыгать
bounce back	отлететь|отлетать
bounce off	отскочить|отскакивать
bouncer	вышибала
bound	предел|суждено|перебежка
boundary	рубеж|черта
boundary path	межа
boundless	бескрайний|безграничный|необозримый
boundlessness	необозримость|необъятность
bounty	премия|субсидия
bouquet	букет
bourgeois	буржуазный|буржуй|боргес
bourgeois-democratic	буржуазно-демократический
bourgeoisie	буржуазия
bourse	биржа
bout	приступ
boutique	бутик
bouts rimes	буриме
bouza	буза
bow	поклон|лук|поклониться
bow wave	бурун
bow-collector	бугель
bow-legged	кривоногий
bow-string	тетива
bow-tie	бабочка
bowdiness	непристойность
bowels	кишечник|потроха
bowl	миска|чаша|ваза
bowler	котелок
bowline	булинь
bowling	боулинг
bowling alley	боулинг
bowling-alley	кегельбан
bowse down	обтягивать
bowse taut	обтягивать
bowser	автозаправщик|бензозаправщик
bowsprit	бушприт
box	ящик|коробка|будка
box-keeper	капельдинер
box-room	каморка|чулан
boxcalf	бокс|хромовый|хром
boxer	боксёр
boxer cut	бокс
boxing	бокс
boy	мальчик|парень|мальчишка
boy-friend	кавалер|возлюбленный
boy-servant	казачок
boyar	боярин|боярский
boyarynia	боярыня
boyaryshnia	боярышня
boycott	бойкот
boyish	мальчишеский
boyishness	мальчишество
boys	ребята|воспитанник|воспитанница
boza	буза
bra	лифчик|бюстгальтер
brace	подпорка|брас|брасовать
brace oneself up	подбираться|подтягиваться
bracelet	браслет|запястье|браслетка
braces	подтяжки|помочи
brachiopoda	плеченогие
brachycephal	брахицефал
bracing	бодрящий|ядрёный|живительный
bracing wire	расчалка
bracket	скобка|вилка
bract	прицветник
brad	шпилька
brag	хвастать
braggart	хвастун|бахвал
bragging	хвастовство|бахвальство|похвальба
brahman	брахман
brahmanism	брахманизм
brahmin	брамин
braid	коса|плести|тесьма
braiding	плетение|оплётка
brail	гитов
brain	мозг|мозговой
brainless	безмозглый|безголовый
brains	ум|голова|мозг
brainy	башковитый
braise	тушёный|тушить
braising	тушение
brake	тормоз|затормозить|тормозить
brakes	затормозить
braking	торможение
bramble	ежевика
brambling	вьюрок
bran	отруби|высевки
branch	ветка|ветвь|рукав
branch box	тройник
branch of science	дисциплина
branch piece	отросток
branch pipe	патрубок
branches	хвоя
branchia	жабры
branching	ответвление|разветвление
branchy	раскидистый|ветвистый|развесистый
brand	марка|клеймо|сорт
brand-new	новенький
branding	клеймение
branding-iron	тавро
brandish	размахивать|потрясать
brandy	коньяк
brass	латунный|латунь|медяшка
brass band	оркестр
brass-knuckles	кастет
brassiere	лифчик|бюстгальтер
bravado	бравада|ухарство
brave	храбрый|отважный
brave spirit	храбрец
bravely	смело|храбро
bravery	храбрость|отвага|лихость
bravo	браво
bravura	бравурный
brawl	скандал|потасовка|скандалить
brawler	скандалист|буян|дебошир
brawny	здоровенный|мускулистый
braze	припой
brazen	бесстыжий|беспардонный|бессовестный
brazier	жаровня|мангал|медник
brazil	Бразилия
brazilian	бразильский|бразилец
brazilian woman	бразильянка
brazing	паяние|припайка
breach	нарушение|пролом|прорыв
bread	хлеб
bread stick	батон
bread-baking plant	хлебозавод
bread-winner	добытчик|кормилица|кормилиц
breadth	ширина|широта
break	разрыв|перелом|прорыв
break away	сорваться|срываться|отпасть
break down	распасться|распадаться|разваливаться
break in two	переломить
break into	проникнуться
break loose	вырваться|сорваться|срываться
break off	прервать|заломить|обломать
break open	взломать
break out	разразиться|вспыхнуть|выбиться
break the seal	распечатать
break through	прошибить|ломить|взломать
break up	расстаться|разбиться|взломать
break up with	расставаться
break-away	откол|отпадение
break-down	изнеможение
break-even	безубыточный
break-in	взлом
break-through	прорыв
break-up	распад|расставание|крах
breakage	бой|поломка
breakdown	развал|авария|аварийный
breakdown rate	аварийность
breaker	бурун|объездчик|прерыватель
breakers	прибой
breakfast	завтрак|завтракать|позавтракать
breaking	перелом|ломка|разлом
breaking in	объездка
breaking off	расторжение
breaking off connection	отбой
breaking open	взлом
breaking up	роспуск|дробление|расщепление
breaking-in	выездка
breakthrough	переломный
breakwater	волнолом|волнорез
bream	лещ
breast	грудь|нагрудный|грудинка
breast-bone	грудина
breast-collar	нагрудник
breast-feed	накормить|покормить
breast-feeding	кормление
breast-stroke	брасс
breastplate	нагрудник
breastwork	бруствер
breath	дыхание|дух|вдох
breathe	дышать|вдохнуть|подышать
breathe heavily	засопеть|посапывать
breathe in	вдыхать
breathe new life	возродить
breathe out	выдохнуть|выдыхать
breather	роздых
breathing	дыхание|веяние
breathing-space	передышка
breathlessly	задыхаясь
breathlessness	одышка
breathtaking	захватывающий
breech-block	затвор
breeches	штаны|брюки|бриджи
breed	порода|племя|размножаться
breeding	развод|воспитание|разведение
breeding ground	очаг
breeding-ground	лежбище|рассадник
breeze	ветерок|ветер|бриз
brest	брест
brevier	петит
brevity	краткость
brew	варить|сварить|заваривать
brewed	заварить
brewer	пивовар
brewing	заварка|пивоварение
bribe	подкупить|мзда|взятка
bribe-taker	взяточник|мздоимец
bribe-taking	взяточничество
bribery	подкуп|взяточничество|мздоимство
brick	кирпич|кубик|кирпичик
bricklayer	каменщик
bride	невеста|новобрачная
bride-money	калым
bride-show	смотрины
bridegroom	жених|молодой|новобрачный
bridge	мост|мостик|бридж
bridge span	пролёт
bridgehead	плацдарм
bridle	уздечка|узда|повод
bridle-rein	повод
brief	недолгий|краткий|сокращённый
briefcase	портфель
briefing	летучка|инструктирование|оперативка
briefly	коротко|кратко|сокращённо
brig	бриг
brigade	бригада
brigade-leader	бригадир
brigadier	бригадир
brigand	разбойник
brigandage	разбой
brigantine	бригантина
bright	яркий|светлый|блестящий
bright-eyed	светлоглазый
brighten	светлеть|проясниться|посветлеть
brighten up	развеселиться|развеселить|оживить
brightly	ярко|светло
brightness	яркость|светлость
brilliance	блеск|яркость
brilliancy	блеск
brilliant	бриллиант|блистательный|блестящий
brilliantly	ярко|блестяще
brim	край|поле|доверху
brim-full	полно|верхом
brimful	дополна
brimstone	сера
brine	рассол|рапа
bring	привести|принести|привезти
bring about	осуществить|повлечь
bring along	захватить|захватывать
bring back	вернуть|возвращать|возвратить
bring by portions	натаскать
bring down	валить|снизить|снижать
bring fame	прославить
bring home	внушать|внушить
bring in	ввести|внести|вводить
bring nearer	приблизить|приближать
bring oneself	решаться
bring out	обозначить|обозначать|выявить
bring some happiness	порадовать
bring to bay	загонять|затравить
bring to light	вскрыть|выявить|вскрывать
bring to naught	сорвать|срывать
bring to ruin	разорить
bring to stop	остановить|останавливать
bring together	свозить|столкнуть
bring up	воспитывать|растить|вырастить
bringing	привоз
bringing down	низведение
bringing home	пригон
bringing in	внесение
bringing up	подноска
brings together	сближать
brink	грань|край
briquette	брикет
briquetting	брикетирование
brisk	бодрый|юркий
brisket	грудинка|корейка
briskly	бодро
briskness	бойкость
bristle	щетина|топорщиться|торчать
bristle up	ощетиниться
bristling	щетинистый
bristly	щетинистый
britain	Британия
britania	Британия
british	британский|английский|англичанин
britisher	британец
briton	британец
brittle	хрупкий|ломкий
britzka	бричка
broach	прошить
broad	широкий
broad pattern	разводы
broad pennant	брейд-вымпел
broad-chested	грудастый|широкогрудый
broad-shouldered	широкоплечий|плечистый
broadcast	вещать|передача|трансляция
broadcasting	вещание|радиовещание|радиотрансляция
broadcasting centre	радиоцентр
broadcasting station	радиостанция
broadcloth	сукно
broaden	расширяться|расширять
broadened	расширенный
broadening	расширение
broadly	широко
broadside	лаг
broadsword	тесак|палаш
brocade	парча|глазет
brochure	брошюра
broil	жарить|вариться|печься
broiled	жареный
broiler	бройлер
broken	разбитый|прерывистый|ломаный
broken underlining	разрядка
broken wind	запал
brokenness	прерывистость
broker	маклер|маклак|комиссионер
brokerage	комиссионный|куртаж|маклерство
broking	маклерство
bromate	бромат
bromide	бром
bromine	бром
bronchi	бронхи
bronchial	бронхиальный
bronchial tubes	бронхи
bronchitis	бронхит
bronze	бронза
bronzed	бронзовый|загорелый
bronzes	бронза
bronzing	бронзировка
brooch	брошка|брошь
brood	выводок|раздумывать|помёт
brooding	высиживание
broody hen	клуша
brook	ручей|речка
broom	веник|метла|помело
broom grove	ракитник
broth	бульон|отвар|варево
brother	брат|братец|браток
brother-in-law	зять|шурин|свояк
brother-officer	однополчанин
brother-soldier	однополчанин
brotherhood	братство|братия|брудершафт
brotherly	братский
brow	бровь|чело
brown	коричневый|бурый|карий
brown cap boletus	подберёзовик
brown hair	брюнет
brown mushroom	берёзовик
brown study	минор
brown-haired person	шатенка
brownie	домовой
browning	браунинг
brownish	коричневатый
browse	пастись|щипать
brucellosis	бруцеллёз
bruise	синяк|ушиб|кровоподтёк
brunette	брюнет|брюнетка
brush	кисть|щётка|хвост
brush aside	отмахнуться|отмахиваться
brushwood	заросль|хворост
brushwood-road	гать
brutal	жестокий|зверский|животный
brutality	жестокость|зверство|бесчеловечность
brutally	зверски|по-зверски
brute	скотина|зверь|скот
brutes	зверьё
brutish	звериный|зоологический|скотский
brynza	брынза
bubble	пузырь|клокотать|пузыриться
bubbling with life	жизнерадостный
bubo	бубон
buck	самец
buck-shot	картечь
bucket	ведро|ведёрко|черпак
bucket chain	нория
buckle	пряжка|застёжка|застегнуть
buckler	щит
buckskin breeches	лосина
buckskins	лосина
buckthorn	крушина
buckwheat	греча|гречневый|гречиха
bucolic literature	буколика
bucolics	буколика
bud	почка|бутон
buddhism	буддизм
buddhist	буддист|буддийский
budding	почкование
buddy	приятель|кореш|друган
budget	бюджет
budgetary	бюджетный
budyonovets	будёновец
budyonovka	будёновка
buff	полировать|отполировать
buffalo	буйвол
buffer	буфер
buffet	буфет
buffing	полировка
buffoon	гаер|скоморох
buffoonery	балагурство|гаерство|скоморошество
bug	клоп|подслушивать|подслушать
bug killer	клопомор
bugaboo	жупел|бука
bugbear	пугало|бука|жупел
bugle	рог|горн|рожок
bugler	горнист|сигналист|рожечник
bugles	стеклярус
build	построить|строить|выстроить
build on	подстроить
build up	накопить|наращивать
builder	строитель
building	здание|строительство|сооружение
building block	кирпичик
building materials	стройматериалы
building on	надстройка
building sit	стройка
building slip	стапель
built	сложённый
bulb	луковица
bulgaria	болгария
bulgarian	болгарский|болгарин|болгарка
bulge	выпучить|утолщение
bulge out	выпирать
bulging	выпуклый|навыкат
bulk	громада|туша
bulkhead	переборка|перемычка
bulky	громоздкий|грузный|объёмистый
bull	бык|бугай|производитель
bull calf	телёнок
bull-calf	бычок
bulldog	бульдог
bulldozer	бульдозер
bulldozer operator	бульдозерист
bullet	пуля
bullet-hole	пробоина
bulletin	бюллетень|вестник
bulletproof	пуленепробиваемый
bullfinch	снегирь
bullhead	бычок
bullock	вол
bullock cart	арба
bullshit	херовина
bully	травить|задира|задирать
bulwark	бастион|оплот
bumble-bee	шмель
bump	шишка|толчок|угодить
bump into	столкнуться
bumper	бампер
bumper crop	урожай
bumpkin	облом|увалень|деревенщина
bumps	болтанка
bumpy	тряский
bumpy air	болтанка
bun	пучок|пышка|плюшка
bunch	связка|пучок|кисть
bunch of flowers	букет
bund	бунд
bundestag	бундестаг
bundist	бундовец
bundle	пучок|пачка|свёрток
bundle of mischief	проказник|проказница|озорник
bungle	самодельщина
bungler	сапожник|бракодел|растяпа
bungling	головотяпство
bunk	койка
bunker	бункер|дот
bunkering	бункеровка
bunny	зайчик
buns	сдоба
bunting	овсянка
buoy	бакен|буёк|буй
buoy-keeper	бакенщик
buoyancy	жизнерадостность|плавучесть
buoyant	жизнерадостный|плавучий|мажорный
bur	колючка
bur-marigold	череда
burbot	налим
burden	ноша|бремя|тягота
burdensome	тягостный|обременительный
burdock	лопух|репейник|репей
bureau	бюро|контора|конторка
bureaucracy	бюрократия|казёнщина
bureaucrat	чиновник|бюрократ|канцелярист
bureaucratic	бюрократический|казённый|канцелярский
bureaucratism	бюрократизм
burette	бюретка
burgeon	почка
burgher	бюргер
burglar	грабитель|громила|взломщик
burglary	ограбление
burgomaster	бургомистр
burial	похороны|захоронение|погребение
burial ground	могильник
burial mound	курган
burial place	захоронение
burial service	отпевание
burial-ground	кладбище
burial-vault	усыпальница
burlap	рогожа
burlesque	бурлеск
burliness	дородность
burly	дородный
burman	бирманец|бирманка
burmese	бирманец|бирманка
burn	гореть|ожог|сжечь
burn down	спалить|выжечь|погореть
burn low	догорать
burn out	выжечь|перегореть
burn slightly	поджечь|поджигать
burn through	перегореть
burn yourself	обжечься
burner	горелка|конфорка
burnet	кровохлёбка
burning	жгучий|жжение|горение
burning hot	раскалённый
burning out	выжигание
burning pain	жжение
burnish	отшлифовать
burnt	горелый|обгорелый|жжёный
burnt out spot	огнище
burr	грат|картавость|заусенец
burrow	нора|рыть|рыться
burst	взорваться|взрыв|рваться
burst forth	грянуть
burst in	ворваться
burst into applause	зааплодировать
burst into tears	расплакаться
burst open	прорваться|прорываться|распирать
burst out	грянуть|разразиться
burst out laughing	захохотать|расхохотаться|рассмеяться
burst out sobbing	зарыдать
bury	похоронить|хоронить|зарыть
bury oneself	уткнуться|зарыться|зарываться
buryat	бурят|бурятка
buryatia	Бурятия
bus	автобус
bus station	автовокзал
bus-bar	шина
bush	куст|кустик|втулка
bush out	разрастись|разрастаться
bush sleeve	гильза
bushel	бушель
bushes	кустарник
bushing	гильза|втулка
bushing out	кущение
bushy	кудрявый|кустистый
business	дело|бизнес|деловой
business card	визитка
business correspondence	делопроизводство
business man	коммерсант|делец
business manager	администратор
business trip	командировка
business undertakings	предпринимательство
business woman	бизнесменка
business-like	деловой|деловитый|дельный
business-like character	деловитость
businessman	бизнесмен|предприниматель|предпринимательница
businesswoman	бизнесвумен
buskins	котурн
buss	гудеть
bust	бюст|грудь
bustard	дрофа|дрохва
bustle	суета|возня|суматоха
bustle about	хлопотать
bustler	хлопотун
bustling	суетливый|суматошный|хлопотливый
busy	занятый|насыщенный|напряжённый
but	но|зато|а
but again	опять-таки
but then	зато
butane	бутан
butcher	мясник|палач|боец
butchery	резня|бойня
butler	дворецкий
butt	приклад|соваться|попка
butt in	сунуться
butt-end	торец
butt-in	лезть
butt-stock	приклад
butter	масло
butter industry	маслоделие
butter manufacturer	маслодел
butter manufacturing	маслоделие
butter-dairy	маслозавод
buttercup	курослеп
butterdish	маслёнка
buttered	масленый
butterfly	бабочка|мотылёк
butterfly stroke	баттерфляй
butterfly-net	сетка
buttermilk	сыворотка|пахтанье
buttery	масляный|маслянистый
buttock	ягодица
button	кнопка|пуговица
button up	застегнуть|пристегнуть|застёгивать
buttoned up	замкнутый
buttonhole	петлица|петля|бутоньерка
buttress	контрфорс
butyl	бутил
butylene	бутилен
buxom	дебелый
buy	купить|покупать|приобрести
buy extra	подкупить
buy in	закупить
buy in bulk	закупать|закупить
buy some more	подкупить
buy up	разбирать|закупить|скупать
buyer	покупатель|закупщик|закупщица
buyer-up	скупщик
buying	покупка|купля
buying up	скупка
buzz	гудение|жужжание|гул
buzz bomb	самолёт-снаряд
buzzard	сарыч
buzzer	зуммер|пищик
buzzy-boy	жужжалка
by	у|около|мимо
by accident	случайно|нечаянно|ненароком
by and by	там|ужо
by any chance	случайно|случаем
by birth	родом
by cart transport	гужом
by cartage	гужом
by chance	случайно|невзначай
by common consent	единодушно
by companies	поротно
by correspondence	заочно
by day	днём
by default	заочно
by degrees	постепенно|исподволь
by dint of	путём
by easy stages	полегоньку
by far	гораздо|несравненно
by force	насильно|силой|силком
by gravity	самотёком
by guess-work	наугад
by hand	вручную
by hearsay	понаслышке
by heart	наизусть
by hundreds	посотенно
by intuition	интуитивно
by land	сухопутный
by leaps	скачками
by means of	путём|посредством
by mistake	ошибочно
by name	поимённо
by no means	отнюдь
by now	уже
by oneself	самолично|особняком|обособленно
by origin	родом
by rote	наизусть
by side	подле
by sight	визуально
by slow degrees	мало-помалу
by stealth	украдкой|тайком|потихоньку
by surprise	врасплох|сюрпризом
by the day	подённо|посуточно
by the hundred	посотенно
by the job	сдельно
by the month	помесячно
by the piece	поурочно|поштучно
by the pood	попудно
by the quarter	поквартально
by the way	кстати|мимоходом
by the week	понедельно
by the wind	бейдевинд
by this time	уже
by touch	ощупью
by turns	поочерёдно|попеременно|посменно
by visual demonstration	наглядно
by-election	довыборы
by-word	поговорка
bye	пока
bye-bye	бай-бай
byelorussia	белоруссия
byelorussian	белорусский|белорус|белоруска
bygone	давний|былой
bylina	былина
byronic	байронический
byronism	байронизм
byzantine	византийский|византиец
cab	кабина|пролётка|кабинка
cabal	клика
cabalism	кабалистика
cabaret	кабаре
cabbage	капуста
cabbage white butterfly	капустница
cabbage-field	капустник
cabbage-stump	кочерыжка
cabbage-worm	капустник
cabby	извозчик
cabin	каюта|хижина|кабинка
cabinet	кабинет|горка
cabinet of curiosities	кунсткамера
cabinet-maker	краснодеревец|краснодеревщик
cable	кабель|телеграмма|канат
cable length	кабельтов
cable-yarn	каболка
cablegram	каблограмма
cabman	извозчик
caboose	камбуз
cabotage	каботаж
cabriolet	кабриолет|таратайка
cacao	какао
cachalot	кашалот
cache	тайник
cache storage	кэш
cachectic	худосочный
cackle	гоготать|гогот|кудахтанье
cacophony	какофония
cactus	кактус
cadastre	кадастр
cadence	каданс|каденция
cadet	кадет|юнкер
cadge	стрелять|стрельнуть
cadger	попрошайка
cadging	попрошайничество
cadmium	кадмий
cadre	кадры
caesar	кесарь
cafe	кофейня
cafe chantant	кафешантан
cafeteria	кафетерий
caffeine	кофеин
caftan	кафтан
cage	клетка|клеть
cahetian	кахетинец
cahors wine	кагор
cain	Каин
caisson	кессон
cajole	обломать
cajolery	лесть
cake	торт|кусок|пирожный
cakes	сдоба
caking	спекание
calamitous	бедственный
calamity	бедствие
calcination	кальцинация
calcine	обжигать|обжечь
calcining	обжиг
calcite	кальцит
calcium	кальций
calculate	рассчитать|подсчитать|вычислить
calculated	расчётный
calculating	вычислительный|расчётливый
calculation	расчёт|учёт|подсчёт
calculator	калькулятор|вычислитель
calculus	исчисление
caldron	котёл
calendar	календарь|времяисчисление|календарный
calender	каландр
calends	календы
calf	телёнок|телец
calf-house	телятник
calf-leather	выросток|опоек
calf-shed	телятник
calf-skin	опоек
calf-tender	телятник|телятница
calibre	калибр
calico	коленкор|миткаль|ситец
caliph	калиф|халиф
calk	шип
call	звонок|призыв|звать
call a halt	приостановить
call back	перезвонить
call forth	обусловить|вызывать
call in at	зайти|заходить
call in question	оспаривать
call names	обругать|ругаться|выругаться
call off	вывести|выводить|отменять
call on	навестить|забежать|навещать
call out	выкрикивать|выкрикнуть|покрикивать
call someone names	обзывать
call to mind	воспроизвести|воспроизводить|восстановить
call to witness	сослаться|ссылаться
call up	подозвать
call upon	звать|позвать
call-over	перекличка
call-sign	позывные
call-up	призыв
call-up papers	повестка
caller	посетитель|визитёр|посетительница
calligraphic	каллиграфический
calligraphy	каллиграфия
calling	заход|призвание|предназначение
callipers	кронциркуль
callosity	мозоль|загрубение|затвердение
callous	бездушный|чёрствый|заскорузлый
callous obtuse person	идол
callousness	бездушие|бездушность|бесчувствие
callow	безусый
calm	спокойствие|успокоить|успокаивать
calm down	успокоиться|стихнуть|затихнуть
calming	успокоение|успокоительный
calmly	спокойно|тихо
calmness	спокойствие|успокоенность
calorie	калория
calorie content	калорийность
calorimeter	калориметр|тепломер
calorimetry	калориметрия
calotte	скуфейка|скуфья
calque	калька
calumniator	клеветник|клеветница
calumnious	клеветнический
calumny	клевета|навет|наговор
calvary	голгофа
calves	икры
calving	отёл
calvinism	кальвинизм
calvinist	кальвинист
calyx	чашечка
cam	кулак|палец|эксцентрик
camarilla	камарилья
cambium	камбий
cambric	батист
cambric muslin	перкаль
camel	верблюд
camellia	камелия
cameo	камея|гемма
camera	фотоаппарат|камера
camera-man	кинооператор
camisole	камзол
camomile	ромашка
camouflage	камуфляж|маскировка|маскироваться
camouflet	камуфлет
camp	лагерь|табор|стан
camp-bed	раскладушка
campaign	кампания|поход|агитировать
campaign flyer	агитка
campaigner	служака
campanula	колокольчик
camper	отдыхающий
camphor	камфара
camphor bails	нафталин
camping-site	кемпинг
can	баночка|мочь|уметь
can be seen	виднеться
can i	можно
can't	нельзя
canada	Канада
