a	какой-то
acid	кислота|кислый|кислотный
acid-proof	противокислотный
acidity	кислота|кислотность
acidly	кисло
acidophilin	ацидофилин
acidulous	кисловатый
ack-ack gun	зенитка
acknowledge	допускать|допустить|сознавать
acknowledged	признанный
acknowledgement	признание
acme	вершина|апогей
acmeism	акмеизм
acorn	жёлудь
acotyledonous	бессеменодольный
acoustic	слуховой|акустический
acoustician	акустик
acoustics	акустика
acquaint	познакомить|знакомить
acquaint oneself	ознакомиться
acquaintance	знакомство|знакомец|знакомый
acquaintances	знакомство
acquainted	знакомый
acquire	приобрести|приобретать|завести
acquire a tan	загорать|загореть
acquire notoriety	прославиться
acquired toughness	закалка
acquisition	приобретение|комплектование|обзаведение
acquit	оправдать|оправдывать
acquittal	оправдание
acre	акр
acrid	едкий
acrimony	жёлчность
acrobat	акробат|циркач
acrobatic	акробатический
acrobatics	акробатика
acropolis	Акрополь
across	через|поперёк
acrostic	акростих
act	акт|закон|действовать
act of groping	ощупь
act of heroism	геройство
act of infamy	гнусность
act of terrorism	теракт
acting	игра|временный|лицедейство
acting as informer	доносительство
acting capacity	заместительство
actinia	актиния
actinium	актиний
action	действие|поступок|иск
action movie	боевик
activated	активированный
active	активный|действующий|оперативный
active child	прыгун
active condition	процесс
active worker	активист
actively	активно
activities	действие
activity	деятельность|мероприятие|активность
activization	активизация
actor	актёр|артист|лицедей
actor dubbing part	дублёр
actress	актриса|артистка
actual	действительный|фактический
actuality	действительность|актуальность
actually	собственно|действительно|неужели
acuity	острота
acumen	проницательность|догадливость
acupuncture	акупунктура|иглотерапия|иглоукалывание
acute	проницательный|обострённый
acuteness	острота|заострённость
ad	объявление
ad-libbing	отсебятина
adagio	адажио
adamant	непреклонный
adamsite	адамсит
adapt	приспособить|приспосабливаться|приладить
adapt oneself	применяться
adaptability	приспособляемость
adaptation	приспособление|адаптация
adapter	адаптер
add	добавить|прибавить|добавлять
add fertilizer	подкармливать
added piece	надставка
addendum	дополнение|добавление
adder	гадюка
addict oneself	ударяться
addiction	зависимость|привыкание
addiction to morphine	морфинизм
adding	сложение
addition	дополнение|добавление|приписка
additional	дополнительный|прибавочный|добавочный
additional fertilizing	подкормка
additional forage	подкорм
additional staff	пополнение
additional storey	надстройка
additional weight	привес
addle egg	болтун
address	адрес|обращение|надпись
addressee	адресат
addresses	ухаживание
adduce	приводить|выставлять
adenoids	аденоид
adenoma	аденома
adequate	адекватный
adhere	прилипнуть|приставать|придерживаться
adherence	приверженность|присоединение
adherence to principle	принципиальность
adherent	сторонник|приверженец|ревнитель
adherent of constructivism	конструктивист
adhesion	сцепление|присоединение
adit	штольня
adjacent	смежный|соседний
adjective	прилагательный
adjective of jubilee	юбилейный
adjoin	прилегать|соприкасаться|примыкать
adjoining	смежный
adjoining the farm	приусадебный
adjourn	отложить
adjournment	отсрочка
adjudication	присуждение
adjudicators	жюри
adjunct	придаток
adjure	заклинать
adjust	наладить|настраивать|регулировать
adjustability	приспособляемость
adjuster	наладчик
adjusting	регулирование|пригонка
adjustment	настройка|регулирование|выверка
adjutant	адъютант
administration	управление|администрация|правительство
administrative	административный|управленческий
administrator	администратор|попечитель
admirably	удивительно
admiral	адмирал
admiralty	адмиралтейство
admiration	восхищение|преклонение
admire	любоваться|восхищаться|восхититься
admirer	поклонник|кавалер|почитатель
admiring	восхищённый
admissibility	приемлемость
admissible	допустимый|приемлемый
admission	пропуск|доступ|приём
